object_size,clients,P95(ms),P99(ms),P99.9(ms)
1024,1,50.41320660330165,59.81090545272636,60.0280140070035
1024,5,40.023011505752876,57.63981990995498,59.903951975987994
1024,10,47.06353176588294,59.43871935967984,59.99699849924962
1024,20,89.01250625312656,250.70035017508752,670.3561780890444
10240,1,46.87743871935968,59.035517758879436,59.99699849924962
10240,5,24.298149074537267,47.46673336668334,65.45572786393197
10240,10,42.72136068034017,58.53926963481741,59.96598299149575
10240,20,93.69584792396198,216.46823411705853,460.07303651825913
102400,1,27.2136068034017,50.7543771885943,64.30815407703852
102400,5,47.59479739869935,89.40070035017509,106.24512256128064
102400,10,52.57128564282141,69.04452226113057,70.00700350175087
102400,20,60.9064532266133,92.89644822411205,115.39169584792396
1048576,1,42.564282141070535,77.10455227613807,143.1815907953977
1048576,5,67.26763381690844,109.51275637818908,139.7398699349675
1048576,10,125.10855427713857,194.1350675337669,268.3161580790395
1048576,20,260.41320660330166,393.31365682841425,527.3936968484243
